energy_consumption_llm_total,response_token_length,response_duration,total_duration,model_size,adj_count,polysyllabcount,long_word_count
2.167963295818384e-05,77.0,8566705000.0,11311233893.0,2000000000.0,1.0,0.0,2.0
7.65601637751923e-06,26.0,2843215000.0,3735246078.0,2000000000.0,1.0,1.0,1.0
7.166591240383525e-05,408.0,47357602000.0,48261064019.0,2000000000.0,0.0,0.0,2.0
7.800742015058907e-05,446.0,51522746000.0,52421461569.0,2000000000.0,0.0,1.0,1.0
5.6618544415231306e-05,325.0,37045930000.0,38227196335.0,2000000000.0,1.0,2.0,3.0
1.208664601273336e-05,38.0,4375991000.0,5435992881.0,2000000000.0,1.0,2.0,4.0
1.988768911589813e-05,25.0,3080001000.0,4555325332.0,2000000000.0,1.0,2.0,4.0
7.20961515830809e-05,384.0,44549984000.0,46187051732.0,2000000000.0,3.0,4.0,4.0
5.730248885425172e-05,325.0,37286211000.0,38572185893.0,2000000000.0,1.0,0.0,0.0
7.551317188409382e-06,20.0,2097542000.0,3544711301.0,2000000000.0,0.0,1.0,7.0
7.78548570564014e-06,27.0,2981605000.0,3819075438.0,2000000000.0,0.0,0.0,0.0
6.751116512817335e-06,19.0,2120189000.0,3018985640.0,2000000000.0,0.0,1.0,1.0
1.173336672008673e-05,50.0,5329770000.0,6620480599.0,2000000000.0,0.0,1.0,2.0
7.837799423035467e-05,450.0,51736260000.0,52637731667.0,2000000000.0,0.0,1.0,2.0
7.767562702960438e-06,23.0,2417448000.0,3806886477.0,2000000000.0,0.0,4.0,5.0
0.0001030573607916,594.0,69646122000.0,70712288724.0,2000000000.0,0.0,3.0,5.0
8.522296137936829e-05,495.0,57402923000.0,58297727405.0,2000000000.0,0.0,2.0,4.0
2.0809029329628343e-05,92.0,10129984000.0,12962174557.0,2000000000.0,4.0,5.0,7.0
7.284077530235725e-05,425.0,49264700000.0,50386519556.0,2000000000.0,1.0,3.0,5.0
8.586831809414757e-06,31.0,3334454000.0,4504989468.0,2000000000.0,1.0,2.0,2.0
6.704012706879753e-06,23.0,2364006000.0,3207720592.0,2000000000.0,0.0,0.0,0.0
8.841950529880555e-05,519.0,60024927000.0,61201955831.0,2000000000.0,0.0,0.0,4.0
1.1416893923156588e-05,52.0,5574683000.0,6470644249.0,2000000000.0,1.0,1.0,1.0
7.533947880474223e-06,26.0,2727283000.0,3914648690.0,2000000000.0,0.0,2.0,5.0
1.139673167560431e-05,48.0,5299862000.0,6353463831.0,2000000000.0,1.0,0.0,1.0
8.898866308165624e-05,526.0,61257010000.0,62208043239.0,2000000000.0,0.0,0.0,3.0
6.881034841133904e-06,22.0,2349484000.0,3300584239.0,2000000000.0,0.0,0.0,1.0
6.926026647788937e-05,410.0,46740040000.0,47785723257.0,2000000000.0,0.0,0.0,2.0
1.8186423593318047e-05,87.0,9772965000.0,11015811906.0,2000000000.0,0.0,0.0,0.0
1.6192053587106456e-05,80.0,8724398000.0,9907537047.0,2000000000.0,0.0,3.0,4.0
8.460048474792471e-05,496.0,57157922000.0,58153443687.0,2000000000.0,1.0,2.0,4.0
7.4877423101313476e-06,22.0,2313390000.0,3719167871.0,2000000000.0,1.0,1.0,4.0
2.438483335987416e-05,128.0,14200919000.0,15379857268.0,2000000000.0,1.0,2.0,3.0
8.242403646794189e-05,493.0,56680620000.0,57529809842.0,2000000000.0,0.0,2.0,3.0
9.406445900618248e-05,549.0,64081506000.0,65229704428.0,2000000000.0,0.0,2.0,2.0
7.030593406394577e-06,18.0,1911362000.0,3499493085.0,2000000000.0,2.0,1.0,6.0
2.568616977073348e-05,132.0,14532609000.0,16613440940.0,2000000000.0,1.0,4.0,7.0
1.4703892880107964e-05,66.0,7157101000.0,8987733641.0,2000000000.0,0.0,2.0,1.0
1.4431452708524793e-05,42.0,4574651000.0,8708747878.0,2000000000.0,6.0,9.0,15.0
5.032392832827609e-05,294.0,33306597000.0,34311617449.0,2000000000.0,0.0,1.0,2.0
2.4600077268770865e-05,138.0,15489295000.0,16434449715.0,2000000000.0,0.0,2.0,2.0
7.3730448416701935e-06,23.0,2421316000.0,3819202192.0,2000000000.0,1.0,2.0,5.0
7.800341634902465e-05,464.0,53603118000.0,54613451910.0,2000000000.0,1.0,3.0,4.0
7.406403840912713e-06,24.0,2463317000.0,3858382327.0,2000000000.0,1.0,3.0,3.0
2.1130758739375567e-05,109.0,11981119000.0,13769001351.0,2000000000.0,1.0,0.0,2.0
1.6701531799978516e-05,82.0,9241389000.0,10526595214.0,2000000000.0,2.0,3.0,3.0
6.438476655631033e-05,379.0,43278407000.0,44329285549.0,2000000000.0,2.0,2.0,4.0
8.348697353245568e-05,499.0,57736925000.0,58684597458.0,2000000000.0,0.0,2.0,2.0
1.612958327875438e-05,54.0,5858359000.0,10275248073.0,2000000000.0,10.0,6.0,18.0
1.4525872484711474e-05,54.0,5980224000.0,9068596089.0,2000000000.0,4.0,7.0,12.0
1.0161276054773494e-05,32.0,3445711000.0,5623966912.0,2000000000.0,2.0,1.0,4.0
1.7845561030534807e-05,95.0,10262992000.0,11284463753.0,2000000000.0,0.0,1.0,1.0
1.7367461554724045e-05,92.0,10126961000.0,11357907578.0,2000000000.0,0.0,1.0,5.0
8.25587846728555e-06,27.0,2812988000.0,4519836535.0,2000000000.0,0.0,1.0,3.0
1.6124815682468716e-05,78.0,8594781000.0,10052559263.0,2000000000.0,1.0,1.0,2.0
3.932157472763552e-05,224.0,25402326000.0,26823271713.0,2000000000.0,1.0,1.0,1.0
3.808788947096966e-05,225.0,24949601000.0,25893914936.0,2000000000.0,1.0,2.0,4.0
9.669617794950803e-06,28.0,2991504000.0,5160619580.0,2000000000.0,1.0,1.0,2.0
6.062935367827842e-06,18.0,1879323000.0,2795927389.0,2000000000.0,0.0,1.0,1.0
7.338573797212707e-06,23.0,2515604000.0,3645660250.0,2000000000.0,0.0,0.0,1.0
1.4473236454718515e-05,67.0,7421576000.0,8391098518.0,2000000000.0,0.0,0.0,1.0
6.91528384835984e-06,21.0,2133401000.0,3522537463.0,2000000000.0,2.0,3.0,3.0
6.82799589125421e-06,22.0,2365845000.0,3315163292.0,2000000000.0,0.0,0.0,0.0
7.891935620274803e-06,24.0,2526021000.0,3966759083.0,2000000000.0,1.0,0.0,3.0
7.787523788096384e-06,27.0,2848719000.0,3978318305.0,2000000000.0,1.0,1.0,4.0
7.465855339601265e-05,442.0,50885392000.0,52124006392.0,2000000000.0,1.0,4.0,5.0
1.1753699279474846e-05,54.0,5935488000.0,6985437201.0,2000000000.0,3.0,2.0,4.0
1.1976832544261752e-05,32.0,3436400000.0,7055756271.0,2000000000.0,8.0,3.0,12.0
1.6967185540134477e-05,87.0,9621742000.0,10902791328.0,2000000000.0,1.0,2.0,3.0
8.20974917403101e-05,486.0,56387105000.0,57827777335.0,2000000000.0,3.0,5.0,9.0
9.83814672161211e-06,42.0,4547661000.0,5668095000.0,2000000000.0,2.0,2.0,5.0
1.16164100031058e-05,50.0,5599089000.0,6738686790.0,2000000000.0,1.0,2.0,3.0
1.0516049547118004e-05,46.0,5096734000.0,5830750129.0,2000000000.0,0.0,1.0,2.0
9.319941315717168e-06,35.0,3649727000.0,4877811501.0,2000000000.0,1.0,2.0,5.0
8.190588413068122e-06,25.0,2690703000.0,4195804300.0,2000000000.0,0.0,2.0,6.0
7.419311570522653e-06,24.0,2510641000.0,3794860331.0,2000000000.0,1.0,3.0,4.0
6.993312633287842e-06,22.0,2296500000.0,3345650728.0,2000000000.0,3.0,1.0,4.0
8.62536083964652e-05,502.0,58496063000.0,59666217597.0,2000000000.0,0.0,2.0,4.0
9.370624817988384e-06,31.0,3376739000.0,5030095644.0,2000000000.0,2.0,2.0,5.0
3.446266529928232e-05,185.0,20705013000.0,22720713347.0,2000000000.0,1.0,3.0,9.0
8.849235577869625e-05,517.0,59491403000.0,60833092514.0,2000000000.0,3.0,3.0,5.0
8.869498505293464e-06,22.0,2349155000.0,4465836163.0,2000000000.0,1.0,5.0,5.0
6.049395100210488e-05,350.0,39815323000.0,41100445960.0,2000000000.0,2.0,1.0,3.0
7.806494761794766e-05,459.0,53157000000.0,54211125111.0,2000000000.0,0.0,1.0,2.0
7.175185855736645e-05,427.0,48903808000.0,50027455593.0,2000000000.0,0.0,1.0,2.0
7.142690098448933e-05,427.0,48911112000.0,50088855288.0,2000000000.0,2.0,1.0,4.0
6.526785716926322e-05,392.0,44664505000.0,45721629848.0,2000000000.0,0.0,0.0,1.0
8.930427454699112e-05,534.0,61940334000.0,63383690197.0,2000000000.0,1.0,1.0,2.0
1.850519746389018e-05,96.0,10500067000.0,11893222053.0,2000000000.0,2.0,1.0,4.0
1.2240557326626994e-05,54.0,5875527000.0,7185002487.0,2000000000.0,2.0,4.0,5.0
7.871899739337735e-05,477.0,55161028000.0,56400950488.0,2000000000.0,2.0,2.0,4.0
9.74009294046296e-06,39.0,4205534000.0,5816381652.0,2000000000.0,2.0,2.0,5.0
7.41813191300097e-05,432.0,50267585000.0,51925056414.0,2000000000.0,1.0,2.0,6.0
6.259982655334035e-05,321.0,42684771000.0,43858490954.0,2000000000.0,1.0,1.0,1.0
3.211590537863732e-05,173.0,20516954000.0,21638106188.0,2000000000.0,1.0,1.0,4.0
6.45208933611552e-06,21.0,2178423000.0,3181457613.0,2000000000.0,0.0,1.0,2.0
6.205469126219164e-05,365.0,41932240000.0,42774626188.0,2000000000.0,0.0,0.0,1.0
1.6258812212361423e-05,78.0,8678924000.0,10178805870.0,2000000000.0,0.0,1.0,2.0
6.0563691932710096e-06,19.0,1914166000.0,2757581437.0,2000000000.0,0.0,1.0,1.0
9.075645734368415e-06,29.0,3096036000.0,4639512734.0,2000000000.0,3.0,2.0,5.0
9.463667437438668e-05,562.0,65331994000.0,66286907170.0,2000000000.0,0.0,1.0,3.0
1.447243811408103e-05,57.0,6269038000.0,8661239009.0,2000000000.0,2.0,3.0,6.0
1.532183048389479e-05,68.0,7468324000.0,9081885748.0,2000000000.0,0.0,1.0,4.0
